device,date,location_name,latitude,longitude,pm25_24hr_avg
21,2024-11-07,Buckeye Rd. and East 89th St,41.486323,-81.624582,2.9204285714285714
21,2024-11-08,Buckeye Rd. and East 89th St,41.486323,-81.624582,9.791333333333334
21,2024-11-09,Buckeye Rd. and East 89th St,41.486323,-81.624582,2.4648039215686275
21,2024-11-10,Buckeye Rd. and East 89th St,41.486323,-81.624582,9.841431372549021
21,2024-11-11,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.024979591836734
21,2024-11-12,Buckeye Rd. and East 89th St,41.486323,-81.624582,1.7739333333333334
21,2024-11-13,Buckeye Rd. and East 89th St,41.486323,-81.624582,2.185490909090909
21,2024-11-14,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.579586956521739
21,2024-11-15,Buckeye Rd. and East 89th St,41.486323,-81.624582,27.020622641509433
21,2024-11-16,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.4639999999999995
21,2024-11-17,Buckeye Rd. and East 89th St,41.486323,-81.624582,11.10890909090909
21,2024-11-18,Buckeye Rd. and East 89th St,41.486323,-81.624582,23.645155555555558
21,2024-11-19,Buckeye Rd. and East 89th St,41.486323,-81.624582,17.224980392156862
21,2024-11-20,Buckeye Rd. and East 89th St,41.486323,-81.624582,9.284512195121952
21,2024-11-21,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.044125
21,2024-11-22,Buckeye Rd. and East 89th St,41.486323,-81.624582,8.899462962962962
21,2024-11-23,Buckeye Rd. and East 89th St,41.486323,-81.624582,2.4860408163265304
21,2024-11-24,Buckeye Rd. and East 89th St,41.486323,-81.624582,17.032632653061224
21,2024-11-25,Buckeye Rd. and East 89th St,41.486323,-81.624582,15.284764705882354
21,2024-11-26,Buckeye Rd. and East 89th St,41.486323,-81.624582,12.67034693877551
21,2024-11-27,Buckeye Rd. and East 89th St,41.486323,-81.624582,7.5224
21,2024-11-28,Buckeye Rd. and East 89th St,41.486323,-81.624582,12.73870588235294
21,2024-11-29,Buckeye Rd. and East 89th St,41.486323,-81.624582,9.450418181818181
21,2024-11-30,Buckeye Rd. and East 89th St,41.486323,-81.624582,8.360811320754717
21,2024-12-01,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.926787234042553
21,2024-12-02,Buckeye Rd. and East 89th St,41.486323,-81.624582,12.431860465116278
21,2024-12-03,Buckeye Rd. and East 89th St,41.486323,-81.624582,16.971382978723405
21,2024-12-04,Buckeye Rd. and East 89th St,41.486323,-81.624582,15.3674
21,2024-12-05,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.974363636363636
21,2024-12-06,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.86146511627907
21,2024-12-07,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.4784893617021275
21,2024-12-08,Buckeye Rd. and East 89th St,41.486323,-81.624582,7.33609756097561
21,2024-12-09,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.694433962264151
21,2024-12-10,Buckeye Rd. and East 89th St,41.486323,-81.624582,36.14678260869565
21,2024-12-11,Buckeye Rd. and East 89th St,41.486323,-81.624582,21.291040000000002
21,2024-12-12,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.360125000000001
21,2024-12-13,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.7909999999999995
21,2024-12-14,Buckeye Rd. and East 89th St,41.486323,-81.624582,9.001617021276596
21,2024-12-15,Buckeye Rd. and East 89th St,41.486323,-81.624582,15.15715909090909
21,2024-12-16,Buckeye Rd. and East 89th St,41.486323,-81.624582,17.070877551020406
21,2024-12-17,Buckeye Rd. and East 89th St,41.486323,-81.624582,11.524040816326531
21,2024-12-18,Buckeye Rd. and East 89th St,41.486323,-81.624582,43.26982352941177
21,2024-12-19,Buckeye Rd. and East 89th St,41.486323,-81.624582,7.256795918367348
21,2024-12-20,Buckeye Rd. and East 89th St,41.486323,-81.624582,17.63648
21,2024-12-21,Buckeye Rd. and East 89th St,41.486323,-81.624582,3.7770384615384613
21,2024-12-22,Buckeye Rd. and East 89th St,41.486323,-81.624582,3.5415
21,2024-12-23,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.552208333333334
21,2024-12-24,Buckeye Rd. and East 89th St,41.486323,-81.624582,21.43591489361702
21,2024-12-25,Buckeye Rd. and East 89th St,41.486323,-81.624582,27.919
21,2024-12-26,Buckeye Rd. and East 89th St,41.486323,-81.624582,13.6586
21,2024-12-27,Buckeye Rd. and East 89th St,41.486323,-81.624582,12.937274509803922
21,2024-12-28,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.431038461538462
21,2024-12-29,Buckeye Rd. and East 89th St,41.486323,-81.624582,7.784916666666667
21,2024-12-30,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.7209375
21,2024-12-31,Buckeye Rd. and East 89th St,41.486323,-81.624582,9.748833333333334
21,2025-01-01,Buckeye Rd. and East 89th St,41.486323,-81.624582,8.847480769230769
21,2025-01-02,Buckeye Rd. and East 89th St,41.486323,-81.624582,9.372551020408164
21,2025-01-03,Buckeye Rd. and East 89th St,41.486323,-81.624582,12.371294117647059
21,2025-01-04,Buckeye Rd. and East 89th St,41.486323,-81.624582,2.753846153846154
21,2025-01-05,Buckeye Rd. and East 89th St,41.486323,-81.624582,8.381192307692308
21,2025-01-06,Buckeye Rd. and East 89th St,41.486323,-81.624582,8.025816326530611
21,2025-01-07,Buckeye Rd. and East 89th St,41.486323,-81.624582,2.7537254901960786
21,2025-01-08,Buckeye Rd. and East 89th St,41.486323,-81.624582,3.2321590909090907
21,2025-01-09,Buckeye Rd. and East 89th St,41.486323,-81.624582,2.914565217391304
21,2025-01-10,Buckeye Rd. and East 89th St,41.486323,-81.624582,15.242690909090909
21,2025-01-11,Buckeye Rd. and East 89th St,41.486323,-81.624582,33.01242857142857
21,2025-01-12,Buckeye Rd. and East 89th St,41.486323,-81.624582,28.698886792452832
21,2025-01-13,Buckeye Rd. and East 89th St,41.486323,-81.624582,8.748608695652173
21,2025-01-14,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.1869565217391305
21,2025-01-15,Buckeye Rd. and East 89th St,41.486323,-81.624582,7.1567083333333334
21,2025-01-16,Buckeye Rd. and East 89th St,41.486323,-81.624582,18.5985
21,2025-01-17,Buckeye Rd. and East 89th St,41.486323,-81.624582,26.811400000000003
21,2025-01-18,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.9500769230769235
21,2025-01-19,Buckeye Rd. and East 89th St,41.486323,-81.624582,2.356866666666667
21,2025-01-20,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.164020408163266
21,2025-01-21,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.080177777777777
