location_name,latitude,longitude,device_number,device_eui,time,measure_name,value
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T17:53:56Z,mc_pm2_5,1.168
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-23T17:32:47Z,mc_pm2_5,1.119
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T17:23:58Z,mc_pm2_5,1.143
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T17:12:20Z,mc_pm2_5,0.883
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-23T17:02:47Z,mc_pm2_5,1.023
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-23T16:32:47Z,mc_pm2_5,1.692
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-23T16:26:46Z,mc_pm2_5,0.843
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T16:23:58Z,mc_pm2_5,2.587
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-23T16:02:47Z,mc_pm2_5,0.843
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T15:53:58Z,mc_pm2_5,1.148
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-23T15:32:47Z,mc_pm2_5,2.226
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T15:23:58Z,mc_pm2_5,1.162
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-23T15:02:54Z,mc_pm2_5,0
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T14:53:58Z,mc_pm2_5,1.107
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-23T14:32:47Z,mc_pm2_5,0.705
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T14:23:58Z,mc_pm2_5,1.677
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-23T14:02:47Z,mc_pm2_5,0.533
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T13:53:58Z,mc_pm2_5,1.886
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T13:51:33Z,mc_pm2_5,0.75
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-23T13:32:47Z,mc_pm2_5,0.567
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T13:23:58Z,mc_pm2_5,0.75
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-23T13:14:19Z,mc_pm2_5,5.021
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-23T13:02:47Z,mc_pm2_5,5.021
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T12:53:58Z,mc_pm2_5,2.401
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-23T12:32:47Z,mc_pm2_5,0.922
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T12:23:58Z,mc_pm2_5,2.197
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-23T12:02:47Z,mc_pm2_5,1.052
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T11:53:58Z,mc_pm2_5,1.677
