"device_number","time","value"
25,2025-01-14 23:58:30.065,5.754
12,2025-01-14 23:55:15.987,10.975
13,2025-01-14 23:51:38.943,7.861
15,2025-01-14 23:50:28.989,5.009
9,2025-01-14 23:48:48.28,2.223
7,2025-01-14 23:46:48.827,8.151
18,2025-01-14 23:42:18.497,12.832
24,2025-01-14 23:42:16.892,2.409
28,2025-01-14 23:42:04.731,8.387
30,2025-01-14 23:40:30.666,9.602
3,2025-01-14 23:40:14.693,4.49
23,2025-01-14 23:39:01.245,26.471
2,2025-01-14 23:36:44.434,3.752
8,2025-01-14 23:35:24.236,8.081
21,2025-01-14 23:33:44.035,10.048
25,2025-01-14 23:28:30.05,5.752
13,2025-01-14 23:21:38.832,10.035
9,2025-01-14 23:18:48.29,3.724
7,2025-01-14 23:16:48.798,6.675
18,2025-01-14 23:12:18.441,8.584
24,2025-01-14 23:12:16.925,7.257
28,2025-01-14 23:12:04.664,19.318
23,2025-01-14 23:10:20.544,16.466
3,2025-01-14 23:10:14.704,4.784
21,2025-01-14 23:09:40.79,13.24
23,2025-01-14 23:09:01.216,16.466
2,2025-01-14 23:06:51.471,7.587
1,2025-01-14 23:06:05.841,8.726
21,2025-01-14 23:03:43.897,13.24
25,2025-01-14 22:57:50.519,8.463
27,2025-01-14 22:54:20.8,16.001
13,2025-01-14 22:51:38.736,17.813
15,2025-01-14 22:50:29.011,19.203
9,2025-01-14 22:48:48.3,8.073
13,2025-01-14 22:46:40.205,17.871
18,2025-01-14 22:42:18.392,22.656
28,2025-01-14 22:42:04.613,10.374
3,2025-01-14 22:40:14.649,21.947
23,2025-01-14 22:39:01.134,7.732
2,2025-01-14 22:36:44.437,23.911
21,2025-01-14 22:33:43.81,13.604
25,2025-01-14 22:28:29.993,8.463
27,2025-01-14 22:24:20.86,7.991
13,2025-01-14 22:21:38.615,17.871
9,2025-01-14 22:18:48.267,2.042
7,2025-01-14 22:16:48.71,6.254
30,2025-01-14 22:16:31.27,7.697
24,2025-01-14 22:15:20.081,16.197
18,2025-01-14 22:12:18.363,10
28,2025-01-14 22:12:04.536,7.925
3,2025-01-14 22:10:14.632,8.85
23,2025-01-14 22:09:01.087,13.616
2,2025-01-14 22:06:44.482,11.815
19,2025-01-14 22:05:52.778,5.275
8,2025-01-14 22:03:36.599,9.299
27,2025-01-14 21:54:20.749,6.812
13,2025-01-14 21:51:38.527,10.821
30,2025-01-14 21:49:58.11,5.813
9,2025-01-14 21:48:48.412,6.933
15,2025-01-14 21:47:12.227,6.662
7,2025-01-14 21:46:48.768,9.221
18,2025-01-14 21:42:18.297,11.031
28,2025-01-14 21:42:04.44,5.579
3,2025-01-14 21:40:14.589,11.118
23,2025-01-14 21:39:01.064,7.185
2,2025-01-14 21:36:44.487,9.667
1,2025-01-14 21:36:05.645,8.183
27,2025-01-14 21:34:22.327,12.988
21,2025-01-14 21:33:43.652,10.715
25,2025-01-14 21:28:29.951,9.412
27,2025-01-14 21:24:12.162,12.988
13,2025-01-14 21:21:38.434,9.68
7,2025-01-14 21:16:48.767,9.133
24,2025-01-14 21:15:20.08,9.765
18,2025-01-14 21:12:18.243,7.607
28,2025-01-14 21:12:04.422,7.634
3,2025-01-14 21:10:14.573,6.035
23,2025-01-14 21:09:00.996,15.826
2,2025-01-14 21:06:44.509,10.161
9,2025-01-14 21:04:26.511,6.514
21,2025-01-14 21:03:52.186,11.297
8,2025-01-14 21:03:36.682,16.444
27,2025-01-14 20:54:12.048,14.278
13,2025-01-14 20:51:38.316,6.019
20,2025-01-14 20:50:02.183,10.777
7,2025-01-14 20:46:48.729,6.472
24,2025-01-14 20:45:20.185,19.21
18,2025-01-14 20:42:18.434,7.126
28,2025-01-14 20:42:04.316,9.843
3,2025-01-14 20:40:14.536,11.63
23,2025-01-14 20:39:00.974,9.914
30,2025-01-14 20:38:07.403,7.038
8,2025-01-14 20:33:36.574,11.324
3,2025-01-14 20:32:00.584,13.197
24,2025-01-14 20:30:37.156,15.38
25,2025-01-14 20:28:29.912,10.108
27,2025-01-14 20:24:12.105,13.059
9,2025-01-14 20:22:42.642,8.781
13,2025-01-14 20:21:38.236,15.695
7,2025-01-14 20:16:48.659,9.93
24,2025-01-14 20:15:20.106,15.38
18,2025-01-14 20:12:18.193,6.395
28,2025-01-14 20:12:04.304,11.801
3,2025-01-14 20:10:14.511,13.197
9,2025-01-14 20:09:55.264,8.781
23,2025-01-14 20:09:00.928,4.706
18,2025-01-14 20:07:46.673,6.455
2,2025-01-14 20:06:44.498,8.455
21,2025-01-14 20:03:52.07,10.608
8,2025-01-14 20:03:36.683,7.321
30,2025-01-14 20:02:30.745,6.621
25,2025-01-14 19:58:29.919,6.424
23,2025-01-14 19:54:30.903,13.386
27,2025-01-14 19:54:18.995,10.741
13,2025-01-14 19:51:38.142,15.041
21,2025-01-14 19:51:34.956,7.101
20,2025-01-14 19:50:02.228,7.054
30,2025-01-14 19:48:26.987,7.163
15,2025-01-14 19:47:12.135,6.827
18,2025-01-14 19:42:18.146,6.455
28,2025-01-14 19:42:04.204,11.154
