state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,date_local,time_local,date_gmt,time_gmt,sample_measurement,units_of_measure,units_of_measure_code,sample_duration,sample_duration_code,sample_frequency,detection_limit,uncertainty,qualifier,method_type,method,method_code,state,county,date_of_last_change,cbsa_code
39,035,0038,88101,1,41.477011,-81.682383,NAD83,PM2.5 - Local Conditions,2024-11-02,00:00,2024-11-02,05:00,3.8,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-01-07,17460
39,035,0038,88101,1,41.477011,-81.682383,NAD83,PM2.5 - Local Conditions,2024-11-05,00:00,2024-11-05,05:00,6.4,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-01-07,17460
39,035,0038,88101,1,41.477011,-81.682383,NAD83,PM2.5 - Local Conditions,2024-11-08,00:00,2024-11-08,05:00,4.4,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-01-07,17460
39,035,0038,88101,1,41.477011,-81.682383,NAD83,PM2.5 - Local Conditions,2024-11-11,00:00,2024-11-11,05:00,3,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-01-07,17460
39,035,0038,88101,1,41.477011,-81.682383,NAD83,PM2.5 - Local Conditions,2024-11-14,00:00,2024-11-14,05:00,7.9,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-01-07,17460
39,035,0038,88101,1,41.477011,-81.682383,NAD83,PM2.5 - Local Conditions,2024-11-17,00:00,2024-11-17,05:00,9.7,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-01-07,17460
39,035,0038,88101,1,41.477011,-81.682383,NAD83,PM2.5 - Local Conditions,2024-11-20,00:00,2024-11-20,05:00,6.7,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-01-07,17460
39,035,0038,88101,1,41.477011,-81.682383,NAD83,PM2.5 - Local Conditions,2024-11-23,00:00,2024-11-23,05:00,1.7,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-01-07,17460
39,035,0038,88101,1,41.477011,-81.682383,NAD83,PM2.5 - Local Conditions,2024-11-26,00:00,2024-11-26,05:00,4.2,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-01-07,17460
39,035,0038,88101,1,41.477011,-81.682383,NAD83,PM2.5 - Local Conditions,2024-11-29,00:00,2024-11-29,05:00,6.4,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-01-07,17460
39,035,0038,88101,1,41.477011,-81.682383,NAD83,PM2.5 - Local Conditions,2024-12-02,00:00,2024-12-02,05:00,7.9,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-02-05,17460
39,035,0038,88101,1,41.477011,-81.682383,NAD83,PM2.5 - Local Conditions,2024-12-05,00:00,2024-12-05,05:00,1.9,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-02-05,17460
39,035,0038,88101,1,41.477011,-81.682383,NAD83,PM2.5 - Local Conditions,2024-12-08,00:00,2024-12-08,05:00,9.8,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-02-05,17460
39,035,0038,88101,1,41.477011,-81.682383,NAD83,PM2.5 - Local Conditions,2024-12-11,00:00,2024-12-11,05:00,9.6,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-02-05,17460
39,035,0038,88101,1,41.477011,-81.682383,NAD83,PM2.5 - Local Conditions,2024-12-14,00:00,2024-12-14,05:00,12.3,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-02-05,17460
39,035,0038,88101,1,41.477011,-81.682383,NAD83,PM2.5 - Local Conditions,2024-12-17,00:00,2024-12-17,05:00,8.1,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-02-05,17460
39,035,0038,88101,1,41.477011,-81.682383,NAD83,PM2.5 - Local Conditions,2024-12-20,00:00,2024-12-20,05:00,8.9,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-02-05,17460
39,035,0038,88101,1,41.477011,-81.682383,NAD83,PM2.5 - Local Conditions,2024-12-23,00:00,2024-12-23,05:00,9.3,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-02-05,17460
39,035,0038,88101,1,41.477011,-81.682383,NAD83,PM2.5 - Local Conditions,2024-12-26,00:00,2024-12-26,05:00,11.3,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-02-05,17460
39,035,0038,88101,1,41.477011,-81.682383,NAD83,PM2.5 - Local Conditions,2024-12-29,00:00,2024-12-29,05:00,6.5,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-02-05,17460
39,035,0038,88101,2,41.477011,-81.682383,NAD83,PM2.5 - Local Conditions,2024-11-02,00:00,2024-11-02,05:00,3.7,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-01-07,17460
