epa_site,cleancle_device,latitude.x,longitude.x,location_name,device_eui,latitude.y,longitude.y,distance_km
0034,21,41.55523,-81.575256,Buckeye Rd. and East 89th St,0004A30B00085575,41.486323,-81.624582,8.702936737914138
0038,21,41.477011,-81.682383,Buckeye Rd. and East 89th St,0004A30B00085575,41.486323,-81.624582,4.930626760622813
0045,21,41.471782,-81.656792,Buckeye Rd. and East 89th St,0004A30B00085575,41.486323,-81.624582,3.1363225518531785
0060,21,41.492117,-81.678449,Buckeye Rd. and East 89th St,0004A30B00085575,41.486323,-81.624582,4.537891481999049
0065,21,41.446624,-81.662356,Buckeye Rd. and East 89th St,0004A30B00085575,41.486323,-81.624582,5.427579051423308
0034,22,41.55523,-81.575256,Estabrook Recreation Center,0004A30B00082194,41.44404,-81.72271,17.44542364183932
0038,22,41.477011,-81.682383,Estabrook Recreation Center,0004A30B00082194,41.44404,-81.72271,4.978891918633881
0045,22,41.471782,-81.656792,Estabrook Recreation Center,0004A30B00082194,41.44404,-81.72271,6.307160165677174
0060,22,41.492117,-81.678449,Estabrook Recreation Center,0004A30B00082194,41.44404,-81.72271,6.501832316503645
0065,22,41.446624,-81.662356,Estabrook Recreation Center,0004A30B00082194,41.44404,-81.72271,5.044369758035605
0034,5,41.55523,-81.575256,Forest City/East 46th Street,0004A30B00084CF2,41.46274,-81.65997,12.485068277331765
0038,5,41.477011,-81.682383,Forest City/East 46th Street,0004A30B00084CF2,41.46274,-81.65997,2.453338459734029
0045,5,41.471782,-81.656792,Forest City/East 46th Street,0004A30B00084CF2,41.46274,-81.65997,1.0408744705307522
0060,5,41.492117,-81.678449,Forest City/East 46th Street,0004A30B00084CF2,41.46274,-81.65997,3.615203803204737
0065,5,41.446624,-81.662356,Forest City/East 46th Street,0004A30B00084CF2,41.46274,-81.65997,1.8050355839441428
0034,23,41.55523,-81.575256,Lee/Harvard,0004A30B000818DE,41.449672,-81.564,11.78807442174298
0038,23,41.477011,-81.682383,Lee/Harvard,0004A30B000818DE,41.449672,-81.564,10.333876968431156
0045,23,41.471782,-81.656792,Lee/Harvard,0004A30B000818DE,41.449672,-81.564,8.122933480829158
0060,23,41.492117,-81.678449,Lee/Harvard,0004A30B000818DE,41.449672,-81.564,10.651608139631563
0065,23,41.446624,-81.662356,Lee/Harvard,0004A30B000818DE,41.449672,-81.564,8.213844021852571
