"device_number","time","value"
24,2025-01-14 23:42:16.892,2.409
24,2025-01-14 23:12:16.925,7.257
24,2025-01-14 22:15:20.081,16.197
24,2025-01-14 21:15:20.08,9.765
24,2025-01-14 20:45:20.185,19.21
24,2025-01-14 20:30:37.156,15.38
24,2025-01-14 20:15:20.106,15.38
24,2025-01-14 19:13:14.695,8.431
24,2025-01-14 18:43:22.908,5.829
24,2025-01-14 18:13:23.348,11.139
24,2025-01-14 17:43:23.33,8.387
24,2025-01-14 17:13:23.355,10.418
24,2025-01-14 17:07:20.443,5.112
24,2025-01-14 16:43:23.395,5.112
24,2025-01-14 16:13:23.383,5.429
24,2025-01-14 15:43:23.373,4.844
24,2025-01-14 15:13:23.395,3.713
24,2025-01-14 14:43:23.399,7.207
24,2025-01-14 14:13:23.363,2.851
24,2025-01-14 13:58:19.775,8.15
24,2025-01-14 13:43:23.348,8.15
24,2025-01-14 13:13:23.777,5.368
24,2025-01-14 12:43:23.764,5.33
24,2025-01-14 12:13:23.759,2.726
24,2025-01-14 11:43:23.724,4.35
24,2025-01-14 11:13:23.71,3.911
24,2025-01-14 10:42:58.061,3.987
24,2025-01-14 10:41:24.646,3.987
24,2025-01-14 10:11:54.909,3.987
24,2025-01-14 09:41:54.884,3.663
24,2025-01-14 09:11:54.852,6.322
24,2025-01-14 08:41:54.839,4.159
24,2025-01-14 08:11:54.817,2.01
24,2025-01-14 07:41:54.801,2.54
24,2025-01-14 07:19:09.212,4.087
24,2025-01-14 07:11:54.353,4.087
24,2025-01-14 06:11:54.337,2.834
24,2025-01-14 05:41:54.324,2.7
24,2025-01-14 05:11:54.333,5.134
24,2025-01-14 04:41:54.311,7.671
24,2025-01-14 04:15:50.795,3.072
24,2025-01-14 04:11:54.331,3.072
24,2025-01-14 03:41:54.313,8.49
24,2025-01-14 03:11:54.319,2.698
24,2025-01-14 02:41:54.307,3.628
24,2025-01-14 02:11:54.321,2.447
24,2025-01-14 01:42:01.311,4.257
24,2025-01-14 01:11:54.275,2.807
24,2025-01-14 01:10:29.405,2.662
24,2025-01-14 00:41:54.29,2.662
24,2025-01-14 00:11:54.295,4.354
24,2025-01-13 23:42:01.271,2.277
24,2025-01-13 23:12:01.295,5.201
24,2025-01-13 22:41:54.277,3.452
24,2025-01-13 22:11:54.295,6.947
24,2025-01-13 22:06:01.007,2.148
24,2025-01-13 21:41:54.282,2.148
24,2025-01-13 21:11:54.291,2.646
24,2025-01-13 20:41:54.351,3.057
24,2025-01-13 20:11:54.338,4.262
24,2025-01-13 19:41:54.381,3.736
24,2025-01-13 19:11:54.375,6.818
24,2025-01-13 18:41:54.431,4.805
24,2025-01-13 18:36:30.844,5.438
24,2025-01-13 18:12:01.429,5.438
24,2025-01-13 17:41:54.482,8.07
24,2025-01-13 17:11:54.47,2.856
24,2025-01-13 16:41:54.511,4.772
24,2025-01-13 16:11:54.527,6.998
24,2025-01-13 15:41:54.504,6.377
24,2025-01-13 15:30:12.49,11.418
24,2025-01-13 15:11:54.566,11.418
24,2025-01-13 14:41:54.584,11.494
24,2025-01-13 14:11:54.6,10.432
24,2025-01-13 13:11:54.619,5.624
24,2025-01-13 12:41:54.611,7.251
24,2025-01-13 12:29:46.143,7.517
24,2025-01-13 12:11:54.605,7.517
24,2025-01-13 11:41:54.614,7.45
24,2025-01-13 11:11:54.633,4.649
24,2025-01-13 10:41:54.647,3.81
24,2025-01-13 10:11:54.655,7.834
24,2025-01-13 09:41:54.671,3.646
24,2025-01-13 09:22:28.803,4.099
24,2025-01-13 09:11:54.676,4.099
24,2025-01-13 08:41:54.719,5.978
24,2025-01-13 08:11:54.736,7.195
24,2025-01-13 07:41:54.714,6.727
24,2025-01-13 07:11:54.736,5.044
24,2025-01-13 06:11:54.788,13.288
24,2025-01-13 05:58:30.533,13.382
24,2025-01-13 05:11:54.84,8.928
24,2025-01-13 04:11:54.811,11.236
24,2025-01-13 03:41:54.849,12.016
24,2025-01-13 03:11:54.858,13.808
24,2025-01-13 02:41:54.835,9.899
24,2025-01-13 02:31:48.198,11.265
24,2025-01-13 02:11:54.875,11.265
24,2025-01-13 01:41:54.873,13.89
24,2025-01-13 01:11:54.88,8.064
24,2025-01-13 00:41:54.891,19.561
24,2025-01-13 00:11:54.904,10.658
24,2025-01-12 23:41:54.943,17.857
24,2025-01-12 23:18:51.888,15.49
24,2025-01-12 23:11:54.93,15.49
24,2025-01-12 22:11:54.967,17.838
24,2025-01-12 21:41:54.96,16.996
24,2025-01-12 21:11:54.992,14.584
