"location_name","latitude","longitude","device_number","device_eui","time","measure_name","value","Date"
"GT Craig EPA Collocated Sensor",41.49211,-81.67856,9,"0004A30B000864E5",2024-12-10 23:59:24.891,"mc_pm2_5",22.153,2024-12-10
"Michael Zone Recreation Center",41.47473,-81.72846,30,"0004A30B0008173D",2024-12-10 23:55:28.716,"mc_pm2_5",37.48,2024-12-10
"East 152nd and Darwin",41.564906,-81.579597,24,"0004A30B000824D7",2024-12-10 23:54:49.075,"mc_pm2_5",51.975,2024-12-10
"Buckeye Rd. and East 89th St",41.486323,-81.624582,21,"0004A30B00085575",2024-12-10 23:54:07.423,"mc_pm2_5",33.658,2024-12-10
"Detroit Shoreway",41.489571,-81.71175,13,"0004A30B00085E91",2024-12-10 23:50:27.509,"mc_pm2_5",28.097,2024-12-10
"Buckeye Rd. and East 89th St",41.486323,-81.624582,21,"0004A30B00085575",2024-12-10 23:50:18.124,"mc_pm2_5",30.287,2024-12-10
"Fleet Ave. and East 71st St.",41.456319,-81.639257,1,"0004A30B00083D5D",2024-12-10 23:47:53.788,"mc_pm2_5",32.33,2024-12-10
"Lee/Harvard",41.449672,-81.564,23,"0004A30B000818DE",2024-12-10 23:47:12.677,"mc_pm2_5",48.526,2024-12-10
"Nottingham Road near Railroad Tracks",41.569957,-81.541194,20,"0004A30B00082428",2024-12-10 23:46:27.74,"mc_pm2_5",37.402,2024-12-10
"Collinwood Recreation Center",41.57947,-81.56615,2,"0004A30B00084BC5",2024-12-10 23:46:08.698,"mc_pm2_5",62.492,2024-12-10
"Michael Zone Recreation Center",41.47473,-81.72846,30,"0004A30B0008173D",2024-12-10 23:44:45.391,"mc_pm2_5",37.48,2024-12-10
"Metro Health Hospital",41.46308,-81.69823,28,"0004A30B00086AC2",2024-12-10 23:40:04.299,"mc_pm2_5",64.438,2024-12-10
"Cudell Recreation Center",41.47918,-81.75257,18,"0004A30B00088CBC",2024-12-10 23:38:35.424,"mc_pm2_5",37.238,2024-12-10
"Lee/Harvard",41.449672,-81.564,23,"0004A30B000818DE",2024-12-10 23:38:34.121,"mc_pm2_5",27.839,2024-12-10
"Bessemer by Tremco",41.46717,-81.63003,25,"0004A30B00085131",2024-12-10 23:38:19.886,"mc_pm2_5",44.473,2024-12-10
"Collinwood Recreation Center",41.57947,-81.56615,2,"0004A30B00084BC5",2024-12-10 23:37:48.238,"mc_pm2_5",62.492,2024-12-10
"Nottingham Water",41.575635,-81.541699,3,"0004A30B00081BFE",2024-12-10 23:32:36.131,"mc_pm2_5",24.011,2024-12-10
"Michael Zone Recreation Center",41.47473,-81.72846,30,"0004A30B0008173D",2024-12-10 23:31:23.976,"mc_pm2_5",145.172,2024-12-10
"GT Craig EPA Collocated Sensor",41.49211,-81.67856,9,"0004A30B000864E5",2024-12-10 23:29:24.931,"mc_pm2_5",30.161,2024-12-10
"Cudell Recreation Center",41.47918,-81.75257,18,"0004A30B00088CBC",2024-12-10 23:26:01.686,"mc_pm2_5",132.322,2024-12-10
"East 152nd and Darwin",41.564906,-81.579597,24,"0004A30B000824D7",2024-12-10 23:24:48.892,"mc_pm2_5",57.687,2024-12-10
"Lee/Harvard",41.449672,-81.564,23,"0004A30B000818DE",2024-12-10 23:17:12.469,"mc_pm2_5",27.839,2024-12-10
"Nottingham Road near Railroad Tracks",41.569957,-81.541194,20,"0004A30B00082428",2024-12-10 23:16:27.684,"mc_pm2_5",34.434,2024-12-10
"Metro Health Hospital",41.46308,-81.69823,28,"0004A30B00086AC2",2024-12-10 23:10:04.434,"mc_pm2_5",50.648,2024-12-10
"East 152nd and Darwin",41.564906,-81.579597,24,"0004A30B000824D7",2024-12-10 23:09:42.204,"mc_pm2_5",66.475,2024-12-10
"Cudell Recreation Center",41.47918,-81.75257,18,"0004A30B00088CBC",2024-12-10 23:08:35.431,"mc_pm2_5",132.322,2024-12-10
"Nottingham Water",41.575635,-81.541699,3,"0004A30B00081BFE",2024-12-10 23:02:36.167,"mc_pm2_5",34.662,2024-12-10
"GT Craig EPA Collocated Sensor",41.49211,-81.67856,9,"0004A30B000864E5",2024-12-10 22:59:24.93,"mc_pm2_5",31.321,2024-12-10
"East 152nd and Darwin",41.564906,-81.579597,24,"0004A30B000824D7",2024-12-10 22:54:48.659,"mc_pm2_5",66.475,2024-12-10
"Buckeye Rd. and East 89th St",41.486323,-81.624582,21,"0004A30B00085575",2024-12-10 22:54:07.448,"mc_pm2_5",42.967,2024-12-10
"Lakeview Terrace Community Center",41.49409,-81.70976,12,"0004A30B00085A7A",2024-12-10 22:49:43.771,"mc_pm2_5",31.514,2024-12-10
"Lee/Harvard",41.449672,-81.564,23,"0004A30B000818DE",2024-12-10 22:47:12.276,"mc_pm2_5",24.594,2024-12-10
"Nottingham Road near Railroad Tracks",41.569957,-81.541194,20,"0004A30B00082428",2024-12-10 22:46:27.706,"mc_pm2_5",37.511,2024-12-10
"Michael Zone Recreation Center",41.47473,-81.72846,30,"0004A30B0008173D",2024-12-10 22:46:06.719,"mc_pm2_5",54.953,2024-12-10
"Coit Road and East 131st Street",41.552492,-81.591944,15,"0004A30B00085FFB",2024-12-10 22:39:44.685,"mc_pm2_5",44.054,2024-12-10
"Cudell Recreation Center",41.47918,-81.75257,18,"0004A30B00088CBC",2024-12-10 22:38:35.481,"mc_pm2_5",76.876,2024-12-10
"Nottingham Road near Railroad Tracks",41.569957,-81.541194,20,"0004A30B00082428",2024-12-10 22:37:16.808,"mc_pm2_5",31.117,2024-12-10
