station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
BKL,2023-01-01T00:40:00Z,40,38,92.48,240,9,0,29.92,NA,1.25,NA,OVC,NA,NA,NA,300,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,33.34,KBKL 010040Z 24009KT 1 1/4SM BR OVC003 04/03 A2992 RMK AO2 T00440033,NA
BKL,2023-01-01T00:53:00Z,39,38,95.78,250,7,0,29.92,1013.3,2.5,NA,OVC,NA,NA,NA,300,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,33.31,KBKL 010053Z 25007KT 2 1/2SM BR OVC003 04/03 A2992 RMK AO2 SLP133 T00390033,NA
BKL,2023-01-01T01:03:00Z,39,38,95.78,250,7,0,29.92,NA,3,NA,OVC,NA,NA,NA,300,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,33.31,KBKL 010103Z 25007KT 3SM BR OVC003 04/03 A2992 RMK AO2 CIG 002V006 T00390033,NA
BKL,2023-01-01T01:13:00Z,39,38,95.78,250,7,0,29.93,NA,3,NA,OVC,NA,NA,NA,500,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,33.31,KBKL 010113Z 25007KT 3SM BR OVC005 04/03 A2993 RMK AO2 T00390033,NA
BKL,2023-01-01T01:53:00Z,39,38,95.78,240,4,0,29.93,1013.9,3,NA,OVC,NA,NA,NA,600,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,35.59,KBKL 010153Z 24004KT 3SM BR OVC006 04/03 A2993 RMK AO2 SLP139 T00390033,NA
BKL,2023-01-01T02:53:00Z,39,37,92.45,250,4,0,29.94,1014,4,NA,BKN,OVC,NA,NA,700,1300,NA,NA,BR,NA,NA,NA,NA,NA,NA,35.59,KBKL 010253Z 25004KT 4SM BR BKN007 OVC013 04/03 A2994 RMK AO2 CIG 006V011 SLP140 T00390028 53006,NA
BKL,2023-01-01T03:53:00Z,39,37,92.45,230,4,0,29.95,1014.4,4,NA,OVC,NA,NA,NA,900,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,35.59,KBKL 010353Z 23004KT 4SM BR OVC009 04/03 A2995 RMK AO2 SLP144 T00390028,NA
BKL,2023-01-01T04:00:00Z,39,37,92.45,240,4,0,29.95,NA,4,NA,OVC,NA,NA,NA,1200,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,35.59,KBKL 010400Z AUTO 24004KT 4SM BR OVC012 04/03 A2995 RMK AO2 T00390028,NA
BKL,2023-01-01T04:53:00Z,39,36,88.87,250,6,0,29.96,1014.9,4,NA,OVC,NA,NA,NA,900,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,33.96,KBKL 010453Z AUTO 25006KT 4SM BR OVC009 04/02 A2996 RMK AO2 SLP149 T00390022 401330039,NA
BKL,2023-01-01T05:53:00Z,39,36,88.87,270,3,0,29.95,1014.4,6,NA,OVC,NA,NA,NA,1000,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,36.69,KBKL 010553Z AUTO 27003KT 6SM BR OVC010 04/02 A2995 RMK AO2 SLP144 T00390022 10044 20039 50004,NA
BKL,2023-01-01T06:53:00Z,39,36,88.87,230,4,0,29.95,1014.6,5,NA,OVC,NA,NA,NA,1000,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,35.59,KBKL 010653Z AUTO 23004KT 5SM BR OVC010 04/02 A2995 RMK AO2 SLP146 T00390022,NA
BKL,2023-01-01T07:53:00Z,40,36,85.81,0,0,0,29.96,1014.8,6,NA,OVC,NA,NA,NA,1000,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,39.9,KBKL 010753Z AUTO 00000KT 6SM BR OVC010 04/02 A2996 RMK AO2 SLP148 T00440022,NA
BKL,2023-01-01T08:53:00Z,41,36,82.22,210,6,0,29.94,1014.4,9,NA,OVC,NA,NA,NA,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.37,KBKL 010853Z AUTO 21006KT 9SM OVC012 05/02 A2994 RMK AO2 SLP144 T00500022 58002,NA
BKL,2023-01-01T09:53:00Z,39,36,88.87,0,0,0,29.96,1015,6,NA,OVC,NA,NA,NA,1200,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,39,KBKL 010953Z AUTO 00000KT 6SM BR OVC012 04/02 A2996 RMK AO2 SLP150 T00390022,NA
