station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
CGF,2023-01-01T00:45:00Z,39.2,39.2,100,270,8,0,29.91,NA,0.25,NA,OVC,NA,NA,NA,200,NA,NA,NA,FG,NA,NA,NA,NA,NA,NA,32.98,KCGF 010045Z 27008KT 1/4SM FG OVC002 04/04 A2991,NA
CGF,2023-01-01T01:45:00Z,37.4,37.4,100,290,7,0,29.93,NA,1.25,NA,OVC,NA,NA,NA,200,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,31.36,KCGF 010145Z 29007KT 1 1/4SM BR OVC002 03/03 A2993,NA
CGF,2023-01-01T02:45:00Z,37.4,37.4,100,290,8,0,29.93,NA,2.5,NA,OVC,NA,NA,NA,400,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,30.76,KCGF 010245Z 29008KT 2 1/2SM BR OVC004 03/03 A2993,NA
CGF,2023-01-01T03:45:00Z,37.4,35.6,93.14,270,7,0,29.95,NA,3.5,NA,OVC,NA,NA,NA,400,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,31.36,KCGF 010345Z 27007KT 3 1/2SM BR OVC004 03/02 A2995,NA
CGF,2023-01-01T04:15:00Z,36.5,36,98.04,280,7,0,29.97,NA,4,NA,OVC,NA,NA,NA,600,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,30.26,KCGF 010415Z AUTO 28007KT 4SM BR OVC006 03/02 A2997 RMK AO2 T00250022,NA
CGF,2023-01-01T04:35:00Z,36.7,36,97.27,260,6,0,29.97,NA,4,NA,OVC,NA,NA,NA,600,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,31.19,KCGF 010435Z AUTO 26006KT 4SM BR OVC006 03/02 A2997 RMK AO2 T00260022,NA
CGF,2023-01-01T04:55:00Z,37,36,96.51,270,6,0,29.97,NA,4,NA,OVC,NA,NA,NA,600,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,31.43,KCGF 010455Z AUTO 27006KT 4SM BR OVC006 03/02 A2997 RMK AO2 T00270022,NA
CGF,2023-01-01T05:15:00Z,37,36,96.13,260,7,0,29.96,NA,4,NA,OVC,NA,NA,NA,600,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,30.87,KCGF 010515Z AUTO 26007KT 4SM BR OVC006 03/02 A2996 RMK AO2 T00280022,NA
CGF,2023-01-01T05:35:00Z,37,36,96.51,250,8,0,29.97,NA,4,NA,OVC,NA,NA,NA,600,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,30.15,KCGF 010535Z AUTO 25008KT 4SM BR OVC006 03/02 A2997 RMK AO2 T00270022,NA
CGF,2023-01-01T05:55:00Z,37,35.8,95.75,270,6,0,29.96,NA,4,NA,OVC,NA,NA,NA,600,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,31.43,KCGF 010555Z AUTO 27006KT 4SM BR OVC006 03/02 A2996 RMK AO2 T00270021 10042 20025 60001,NA
CGF,2023-01-01T06:15:00Z,37,35.8,95.75,250,5,0,29.96,NA,4,NA,OVC,NA,NA,NA,600,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,32.21,KCGF 010615Z AUTO 25005KT 4SM BR OVC006 03/02 A2996 RMK AO2 T00270021,NA
CGF,2023-01-01T06:35:00Z,37,35.8,95.75,210,3,0,29.95,NA,4,NA,OVC,NA,NA,NA,600,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,34.29,KCGF 010635Z AUTO 21003KT 4SM BR OVC006 03/02 A2995 RMK AO2 T00270021,NA
CGF,2023-01-01T06:55:00Z,37,36,96.13,NA,NA,0,29.96,NA,4,NA,OVC,NA,NA,NA,600,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,NA,KCGF 010655Z AUTO 4SM BR OVC006 03/02 A2996 RMK AO2 T00280022,NA
CGF,2023-01-01T07:15:00Z,37,36,96.13,270,3,0,29.96,NA,4,NA,OVC,NA,NA,NA,600,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,34.4,KCGF 010715Z AUTO 27003KT 4SM BR OVC006 03/02 A2996 RMK AO2 T00280022,NA
CGF,2023-01-01T07:35:00Z,37,35.8,95.75,NA,NA,0,29.96,NA,4,NA,OVC,NA,NA,NA,600,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,NA,KCGF 010735Z AUTO 4SM BR OVC006 03/02 A2996 RMK AO2 T00270021,NA
CGF,2023-01-01T07:55:00Z,37,36,96.13,250,3,0,29.97,NA,4,NA,OVC,NA,NA,NA,600,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,34.4,KCGF 010755Z AUTO 25003KT 4SM BR OVC006 03/02 A2997 RMK AO2 T00280022,NA
CGF,2023-01-01T08:15:00Z,37,36,96.13,330,3,0,29.97,NA,3.5,NA,BKN,OVC,NA,NA,600,1000,NA,NA,BR,NA,NA,NA,NA,NA,NA,34.4,KCGF 010815Z AUTO 33003KT 3 1/2SM BR BKN006 OVC010 03/02 A2997 RMK AO2 T00280022,NA
CGF,2023-01-01T08:35:00Z,37.2,36,95.75,0,0,0,29.97,NA,3.5,NA,OVC,NA,NA,NA,1000,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,37.2,KCGF 010835Z AUTO 00000KT 3 1/2SM BR OVC010 03/02 A2997 RMK AO2 T00290023,NA
CGF,2023-01-01T08:55:00Z,37.2,36.3,96.51,0,0,0,29.96,NA,4,NA,OVC,NA,NA,NA,1000,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,37.2,KCGF 010855Z AUTO 00000KT 4SM BR OVC010 03/02 A2996 RMK AO2 T00290024,NA
CGF,2023-01-01T09:15:00Z,37.6,36.5,95.76,0,0,0,29.95,NA,4,NA,OVC,NA,NA,NA,1000,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,37.6,KCGF 010915Z AUTO 00000KT 4SM BR OVC010 03/02 A2995 RMK AO2 T00310025,NA
CGF,2023-01-01T09:35:00Z,37.4,36.5,96.51,NA,NA,0,29.96,NA,4,NA,OVC,NA,NA,NA,1000,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,NA,KCGF 010935Z AUTO 4SM BR OVC010 03/03 A2996 RMK AO2 T00300025,NA
CGF,2023-01-01T09:55:00Z,37.6,36.5,95.76,290,3,0,29.97,NA,4,NA,OVC,NA,NA,NA,1000,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,35.09,KCGF 010955Z AUTO 29003KT 4SM BR OVC010 03/03 A2997 RMK AO2 T00310025,NA
CGF,2023-01-01T10:15:00Z,37.6,36.5,95.76,0,0,0,29.97,NA,3,NA,OVC,NA,NA,NA,1000,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,37.6,KCGF 011015Z AUTO 00000KT 3SM BR OVC010 03/03 A2997 RMK AO2 T00310025,NA
CGF,2023-01-01T10:35:00Z,37.2,36.3,96.51,260,3,0,29.99,NA,3,NA,OVC,NA,NA,NA,1000,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,34.63,KCGF 011035Z AUTO 26003KT 3SM BR OVC010 03/02 A2999 RMK AO2 T00290024,NA
CGF,2023-01-01T10:55:00Z,37.2,36.5,97.28,0,0,0,29.99,NA,3,NA,OVC,NA,NA,NA,1000,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,37.2,KCGF 011055Z AUTO 00000KT 3SM BR OVC010 03/02 A2999 RMK AO2 T00290025,NA
CGF,2023-01-01T11:15:00Z,37.6,36.5,95.76,0,0,0,30,NA,4,NA,OVC,NA,NA,NA,1000,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,37.6,KCGF 011115Z AUTO 00000KT 4SM BR OVC010 03/03 A3000 RMK AO2 T00310025,NA
CGF,2023-01-01T11:45:00Z,37.4,37.4,100,0,0,0,29.98,NA,2,NA,OVC,NA,NA,NA,1000,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,37.4,KCGF 011145Z 00000KT 2SM BR OVC010 03/03 A2998,NA
CGF,2023-01-01T12:45:00Z,35.6,35.6,100,0,0,0,29.95,NA,2,NA,OVC,NA,NA,NA,10000,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,35.6,KCGF 011245Z 00000KT 2SM BR OVC100 02/02 A2995,NA
CGF,2023-01-01T13:45:00Z,35.6,35.6,100,0,0,0,29.97,NA,3,NA,OVC,NA,NA,NA,10000,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,35.6,KCGF 011345Z 00000KT 3SM BR OVC100 02/02 A2997,NA
CGF,2023-01-01T14:45:00Z,39.2,37.4,93.19,170,5,0,29.96,NA,7,NA,OVC,NA,NA,NA,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.95,KCGF 011445Z 17005KT 7SM OVC100 04/03 A2996,NA
CGF,2023-01-01T15:30:00Z,41,37.4,86.89,190,9,0,29.96,NA,7,NA,SCT,BKN,OVC,NA,1300,1800,8000,NA,-RA BR,NA,NA,NA,NA,NA,NA,34.7,KCGF 011530Z 19009KT 7SM -RA BR SCT013 BKN018 OVC080 05/03 A2996,NA
CGF,2023-01-01T15:45:00Z,42.8,39.2,86.99,180,12,0,29.94,NA,7,NA,SCT,BKN,OVC,NA,900,1500,5000,NA,NA,NA,NA,NA,NA,NA,NA,35.75,KCGF 011545Z 18012KT 7SM SCT009 BKN015 OVC050 06/04 A2994,NA
CGF,2023-01-01T16:45:00Z,42.8,41,93.3,210,9,0,29.94,NA,5,16,BKN,OVC,NA,NA,800,2000,NA,NA,BR,NA,NA,NA,NA,NA,NA,36.94,KCGF 011645Z 21009G16KT 5SM BR BKN008 OVC020 06/05 A2994,NA
CGF,2023-01-01T17:45:00Z,44.6,42.8,93.35,210,6,0,29.93,NA,2,NA,OVC,NA,NA,NA,800,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,40.71,KCGF 011745Z 21006KT 2SM BR OVC008 07/06 A2993,NA
CGF,2023-01-01T18:45:00Z,46.4,44.6,93.4,230,9,0,29.91,NA,10,NA,OVC,NA,NA,NA,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.42,KCGF 011845Z 23009KT 10SM OVC008 08/07 A2991,NA
CGF,2023-01-01T19:45:00Z,46.4,44.6,93.4,270,10,0,29.94,NA,10,NA,OVC,NA,NA,NA,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.03,KCGF 011945Z 27010KT 10SM OVC012 08/07 A2994,NA
CGF,2023-01-01T20:45:00Z,46.4,44.6,93.4,270,6,0,29.96,NA,7,NA,OVC,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.87,KCGF 012045Z 27006KT 7SM OVC010 08/07 A2996,NA
CGF,2023-01-01T21:45:00Z,46.4,44.6,93.4,280,5,0,29.98,NA,10,NA,OVC,NA,NA,NA,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.5,KCGF 012145Z 28005KT 10SM OVC012 08/07 A2998,NA
CGF,2023-01-01T22:45:00Z,44.6,44.6,100,260,7,0,30,NA,2.5,NA,OVC,NA,NA,NA,600,NA,NA,NA,DZ BR,NA,NA,NA,NA,NA,NA,40.14,KCGF 012245Z 26007KT 2 1/2SM DZ BR OVC006 07/07 A3000,NA
CGF,2023-01-01T23:45:00Z,44.6,42.8,93.35,270,3,0,30.02,NA,2.5,NA,OVC,NA,NA,NA,400,NA,NA,NA,-DZ BR,NA,NA,NA,NA,NA,NA,43.09,KCGF 012345Z 27003KT 2 1/2SM -DZ BR OVC004 07/06 A3002,NA
CGF,2023-01-02T00:45:00Z,44.6,44.6,100,260,7,0,30.03,NA,5,NA,OVC,NA,NA,NA,400,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,40.14,KCGF 020045Z 26007KT 5SM BR OVC004 07/07 A3003,NA
CGF,2023-01-02T01:45:00Z,46.4,44.6,93.4,230,3,0,30.03,NA,4,NA,SCT,BKN,OVC,NA,800,1500,2000,NA,BR,NA,NA,NA,NA,NA,NA,45.15,KCGF 020145Z 23003KT 4SM BR SCT008 BKN015 OVC020 08/07 A3003,NA
CGF,2023-01-02T02:45:00Z,46.4,44.6,93.4,240,6,0,30.03,NA,5,NA,OVC,NA,NA,NA,2800,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,42.87,KCGF 020245Z 24006KT 5SM BR OVC028 08/07 A3003,NA
