station_icao,datetime_utc,year,month,day,hour,temp_x10,dew_x10,slp_x10,wind_dir,wind_spd_x10,sky_cov,prec1h_x10,prec6h_x10
KBKL,2023-01-01T01:00:00Z,2023,1,1,1,39,33,10133,250,36,-9999,0,-9999
KBKL,2023-01-01T02:00:00Z,2023,1,1,2,39,33,10139,240,21,-9999,0,-9999
KBKL,2023-01-01T03:00:00Z,2023,1,1,3,39,28,10140,250,21,-9999,0,-9999
KBKL,2023-01-01T04:00:00Z,2023,1,1,4,39,28,-9999,240,21,-9999,0,-9999
KBKL,2023-01-01T05:00:00Z,2023,1,1,5,39,22,10149,250,31,-9999,0,-9999
KBKL,2023-01-01T06:00:00Z,2023,1,1,6,39,22,10144,270,15,-9999,0,-9999
KBKL,2023-01-01T07:00:00Z,2023,1,1,7,39,22,10146,230,21,-9999,0,-9999
KBKL,2023-01-01T08:00:00Z,2023,1,1,8,44,22,10148,0,0,-9999,0,-9999
KBKL,2023-01-01T09:00:00Z,2023,1,1,9,50,22,10144,210,31,-9999,0,-9999
KBKL,2023-01-01T10:00:00Z,2023,1,1,10,39,22,10150,0,0,-9999,0,-9999
KBKL,2023-01-01T11:00:00Z,2023,1,1,11,44,22,10155,230,31,-9999,0,-9999
KBKL,2023-01-01T12:00:00Z,2023,1,1,12,39,22,10154,0,0,-9999,0,-9999
KBKL,2023-01-01T13:00:00Z,2023,1,1,13,50,28,10146,0,0,-9999,0,-9999
KBKL,2023-01-01T14:00:00Z,2023,1,1,14,44,22,10149,70,21,-9999,0,-9999
KBKL,2023-01-01T15:00:00Z,2023,1,1,15,61,33,10149,160,51,-9999,0,-9999
KBKL,2023-01-01T16:00:00Z,2023,1,1,16,67,39,10146,160,62,-9999,-1,-9999
KBKL,2023-01-01T17:00:00Z,2023,1,1,17,72,56,10143,180,51,-9999,0,-9999
KBKL,2023-01-01T18:00:00Z,2023,1,1,18,89,67,10134,200,46,-9999,0,-1
KBKL,2023-01-01T19:00:00Z,2023,1,1,19,100,67,10133,210,51,-9999,0,-9999
KBKL,2023-01-01T20:00:00Z,2023,1,1,20,78,56,10143,250,31,-9999,0,-9999
KBKL,2023-01-01T21:00:00Z,2023,1,1,21,72,50,10148,240,21,-9999,0,-9999
KBKL,2023-01-01T22:00:00Z,2023,1,1,22,72,56,10158,220,21,-9999,0,-9999
KBKL,2023-01-01T23:00:00Z,2023,1,1,23,67,56,10165,0,0,-9999,0,-9999
KBKL,2023-01-02T00:00:00Z,2023,1,2,0,67,50,10170,0,0,-9999,-1,-1
KBKL,2023-01-02T01:00:00Z,2023,1,2,1,89,72,10171,210,26,-9999,0,-9999
KBKL,2023-01-02T02:00:00Z,2023,1,2,2,94,78,-9999,210,41,-9999,0,-9999
KBKL,2023-01-02T03:00:00Z,2023,1,2,3,94,78,10173,210,51,-9999,0,-9999
KBKL,2023-01-02T04:00:00Z,2023,1,2,4,94,78,10171,200,31,4,0,-9999
KBKL,2023-01-02T05:00:00Z,2023,1,2,5,94,78,10176,220,41,4,0,-9999
KBKL,2023-01-02T06:00:00Z,2023,1,2,6,100,78,10180,230,57,-9999,0,-9999
KBKL,2023-01-02T07:00:00Z,2023,1,2,7,94,78,10179,240,26,-9999,0,-9999
KBKL,2023-01-02T08:00:00Z,2023,1,2,8,94,78,10180,240,26,-9999,0,-9999
KBKL,2023-01-02T09:00:00Z,2023,1,2,9,94,78,10182,240,21,-9999,0,-9999
KBKL,2023-01-02T10:00:00Z,2023,1,2,10,78,67,10186,230,26,-9999,0,-9999
KBKL,2023-01-02T11:00:00Z,2023,1,2,11,78,67,10186,220,15,-9999,0,-9999
KBKL,2023-01-02T12:00:00Z,2023,1,2,12,83,72,10183,0,0,-9999,0,-9999
KBKL,2023-01-02T13:00:00Z,2023,1,2,13,67,56,-9999,0,0,-9999,0,-9999
KBKL,2023-01-02T14:00:00Z,2023,1,2,14,78,72,-9999,0,0,-9999,0,-9999
KBKL,2023-01-02T15:00:00Z,2023,1,2,15,61,50,-9999,40,21,-9999,0,-9999
KBKL,2023-01-02T16:00:00Z,2023,1,2,16,56,50,10198,60,15,9,-1,-9999
KBKL,2023-01-02T17:00:00Z,2023,1,2,17,56,44,10190,50,15,9,-1,-9999
KBKL,2023-01-02T18:00:00Z,2023,1,2,18,67,56,-9999,0,0,-9999,0,-1
KBKL,2023-01-02T19:00:00Z,2023,1,2,19,50,39,10177,20,41,-9999,0,-9999
KBKL,2023-01-02T20:00:00Z,2023,1,2,20,39,33,10177,40,36,9,0,-9999
KBKL,2023-01-02T21:00:00Z,2023,1,2,21,39,33,-9999,50,36,-9999,0,-9999
