Device_ID,Location_Name,Latitude,Longitude,Dates_of_Operation
1,Fleet Ave. and East 71st St.,41.456319,-81.639257,Nov 2024 – May 2025
2,Collinwood Recreation Center,41.57947,-81.56615,Nov 2024 – May 2025
3,Nottingham Water,41.575635,-81.541699,Nov 2024 – May 2025
5,Forest City/East 46th Street,41.46274,-81.65997,Nov 2024 – May 2025
6,East 30th and Perkins,41.50541,-81.66791,Nov 2024 – May 2025
7,St. Theodosius Monitoring Site Collocated Sensor,41.476985,-81.682376,Nov 2024 – May 2025
8,East 56th Street and Ferro Avenue,41.446336,-81.650709,Nov 2024 – May 2025
9,GT Craig EPA Collocated Sensor,41.49211,-81.67856,Nov 2024 – May 2025
11,East 166th St. and St. Clair Ave.,41.56206,-81.564009,Nov 2024 – May 2025
12,Lakeview Terrace Community Center,41.49409,-81.70976,Nov 2024 – May 2025
13,Detroit Shoreway,41.489571,-81.71175,Nov 2024 – May 2025
14,Fairfax Recreation Center,41.49537,-81.63033,Nov 2024 – May 2025
15,Coit Road and East 131st Street,41.552492,-81.591944,Nov 2024 – May 2025
17,GT Craig Monitoring Site Collocated Sensor,41.49212,-81.67856,Nov 2024 – May 2025
17,Michael Zone Recreation Center,41.47473,-81.72846,Nov 2024 – May 2025
18,Cudell Recreation Center,41.47918,-81.75257,Nov 2024 – May 2025
19,Mound Elementary,41.462862,-81.647249,Nov 2024 – May 2025
20,Nottingham Road near Railroad Tracks,41.569957,-81.541194,Nov 2024 – May 2025
21,Buckeye Rd. and East 89th St,41.486323,-81.624582,Nov 2024 – May 2025
22,Estabrook Recreation Center,41.44404,-81.72271,Nov 2024 – May 2025
23,Lee/Harvard,41.449672,-81.564,Nov 2024 – May 2025
24,East 152nd and Darwin,41.564906,-81.579597,Nov 2024 – May 2025
25,Bessemer by Tremco,41.46717,-81.63003,Nov 2024 – May 2025
26,Cudell Recreation Center,41.47918,-81.75257,Nov 2024 – May 2025
27,East 30th and Perkins,41.50541,-81.66791,Nov 2024 – May 2025
28,Metro Health Hospital,41.46308,-81.69823,Nov 2024 – May 2025
29,Gunning Recreation Center,41.43498,-81.81362,Nov 2024 – May 2025
30,Michael Zone Recreation Center,41.47473,-81.72846,Nov 2024 – May 2025
