device_number,device_eui,location_name,latitude,longitude
21,0004A30B00085575,Buckeye Rd. and East 89th St,41.486323,-81.624582
22,0004A30B00082194,Estabrook Recreation Center,41.44404,-81.72271
5,0004A30B00084CF2,Forest City/East 46th Street,41.46274,-81.65997
23,0004A30B000818DE,Lee/Harvard,41.449672,-81.564
3,0004A30B00081BFE,Nottingham Water,41.575635,-81.541699
14,0004A30B000885BF,Fairfax Recreation Center,41.49537,-81.63033
17,0004A30B00087263,GT Craig Monitoring Site Collocated Sensor,41.49212,-81.67856
7,0004A30B00084474,St. Theodosius Monitoring Site Collocated Sensor,41.476985,-81.682376
26,0004A30B00085FFF,Cudell Recreation Center,41.47918,-81.75257
29,0004A30B00082B18,Gunning Recreation Center,41.43498,-81.81362
24,0004A30B000824D7,East 152nd and Darwin,41.564906,-81.579597
2,0004A30B00084BC5,Collinwood Recreation Center,41.57947,-81.56615
11,0004A30B00086587,East 166th St. and St. Clair Ave.,41.56206,-81.564009
25,0004A30B00085131,Bessemer by Tremco,41.46717,-81.63003
15,0004A30B00085FFB,Coit Road and East 131st Street,41.552492,-81.591944
8,0004A30B000838E4,East 56th Street and Ferro Avenue,41.446336,-81.650709
20,0004A30B00082428,Nottingham Road near Railroad Tracks,41.569957,-81.541194
27,0004A30B00080E82,East 30th and Perkins,41.50541,-81.66791
12,0004A30B00085A7A,Lakeview Terrace Community Center,41.49409,-81.70976
1,0004A30B00083D5D,Fleet Ave. and East 71st St.,41.456319,-81.639257
19,0004A30B000838D0,Mound Elementary,41.462862,-81.647249
28,0004A30B00086AC2,Metro Health Hospital,41.46308,-81.69823
13,0004A30B00085E91,Detroit Shoreway,41.489571,-81.71175
18,0004A30B00088CBC,Cudell Recreation Center,41.47918,-81.75257
17,0004A30B00087263,Michael Zone Recreation Center,41.47473,-81.72846
30,0004A30B0008173D,Michael Zone Recreation Center,41.47473,-81.72846
9,0004A30B000864E5,GT Craig EPA Collocated Sensor,41.49211,-81.67856
6,0004A30B00083B9C,East 30th and Perkins,41.50541,-81.66791
