Date,EPA_Site,PM_EPA,PM_CinC
2024-11-02,0034,2.9,3.7922432432432434
2024-11-02,0034,2.9,2.580346153846154
2024-11-02,0034,2.9,2.4594444444444443
2024-11-02,0034,2.9,2.42325
2024-11-05,0034,5.6,4.258571428571429
2024-11-05,0034,5.6,4.535777777777778
2024-11-05,0034,5.6,3.8111923076923078
2024-11-05,0034,5.6,3.9189787234042552
2024-11-08,0034,5.2,12.046735294117648
2024-11-08,0034,5.2,9.51761111111111
2024-11-08,0034,5.2,9.631240740740742
2024-11-08,0034,5.2,6.0004
2024-11-08,0034,5.2,8.785869565217391
2024-11-11,0034,2.8,5.299421052631579
2024-11-11,0034,2.8,5.89832
2024-11-11,0034,2.8,5.23162
2024-11-11,0034,2.8,5.18344
2024-11-11,0034,2.8,4.974666666666667
2024-11-14,0034,2.6,3.5180833333333332
2024-11-14,0034,2.6,3.7834347826086954
2024-11-14,0034,2.6,3.632867924528302
2024-11-14,0034,2.6,3.0133269230769235
2024-11-14,0034,2.6,2.715333333333333
2024-11-17,0034,5.8,12.592032258064517
2024-11-17,0034,5.8,12.582136363636362
2024-11-17,0034,5.8,10.036672727272727
2024-11-17,0034,5.8,8.677510204081633
2024-11-17,0034,5.8,7.812102040816327
2024-11-20,0034,3.3,7.42765625
2024-11-20,0034,3.3,9.876714285714286
2024-11-20,0034,3.3,3.443857142857143
2024-11-20,0034,3.3,6.3689245283018865
2024-11-20,0034,3.3,6.3343454545454545
2024-11-20,0034,3.3,6.765586956521739
2024-11-23,0034,1.4,1.94378125
2024-11-23,0034,1.4,1.7889285714285714
2024-11-23,0034,1.4,1.9468
2024-11-23,0034,1.4,2.09
2024-11-23,0034,1.4,2.5739107142857143
2024-11-23,0034,1.4,1.6813829787234043
2024-11-26,0034,4,9.371586206896552
2024-11-26,0034,4,8.739413793103449
2024-11-26,0034,4,12.315800000000001
2024-11-26,0034,4,11.491000000000001
2024-11-26,0034,4,10.695276595744682
2024-11-26,0034,4,9.503187500000001
2024-11-29,0034,6.3,9.541375
2024-11-29,0034,6.3,9.122153846153847
2024-11-29,0034,6.3,8.111736842105262
2024-11-29,0034,6.3,8.720040000000001
2024-11-29,0034,6.3,7.932549019607843
2024-11-29,0034,6.3,8.630448979591836
2024-12-02,0034,7.9,12.727896551724138
2024-12-02,0034,7.9,11.686838709677419
2024-12-02,0034,7.9,10.973837837837838
2024-12-02,0034,7.9,14.263745098039216
2024-12-02,0034,7.9,11.087490566037737
2024-12-02,0034,7.9,10.509872340425531
2024-12-05,0034,1.7,7.351074074074074
2024-12-05,0034,1.7,8.46740909090909
