Site,Date,device_number,PM25_CinC,PM25_EPA_FRM
0034,2024-11-02,11,3.7922432432432434,2.9
0034,2024-11-02,15,2.580346153846154,2.9
0034,2024-11-02,20,2.4594444444444443,2.9
0034,2024-11-02,3,2.42325,2.9
0034,2024-11-05,11,4.258571428571429,5.6
0034,2024-11-05,15,4.535777777777778,5.6
0034,2024-11-05,20,3.8111923076923078,5.6
0034,2024-11-05,3,3.9189787234042552,5.6
0034,2024-11-08,11,12.046735294117648,5.2
0034,2024-11-08,15,9.51761111111111,5.2
0034,2024-11-08,20,9.631240740740742,5.2
0034,2024-11-08,24,6.0004,5.2
0034,2024-11-08,3,8.785869565217391,5.2
0034,2024-11-11,11,5.299421052631579,2.8
0034,2024-11-11,15,5.89832,2.8
0034,2024-11-11,20,5.23162,2.8
0034,2024-11-11,24,5.18344,2.8
0034,2024-11-11,3,4.974666666666667,2.8
0034,2024-11-14,11,3.5180833333333332,2.6
0034,2024-11-14,15,3.7834347826086954,2.6
0034,2024-11-14,20,3.632867924528302,2.6
0034,2024-11-14,24,3.0133269230769235,2.6
0034,2024-11-14,3,2.715333333333333,2.6
0034,2024-11-17,11,12.592032258064517,5.8
0034,2024-11-17,15,12.582136363636362,5.8
0034,2024-11-17,20,10.036672727272727,5.8
0034,2024-11-17,24,8.677510204081633,5.8
0034,2024-11-17,3,7.812102040816327,5.8
0034,2024-11-20,11,7.42765625,3.3
0034,2024-11-20,15,9.876714285714286,3.3
0034,2024-11-20,2,3.443857142857143,3.3
0034,2024-11-20,20,6.3689245283018865,3.3
0034,2024-11-20,24,6.3343454545454545,3.3
0034,2024-11-20,3,6.765586956521739,3.3
0034,2024-11-23,11,1.94378125,1.4
0034,2024-11-23,15,1.7889285714285714,1.4
0034,2024-11-23,2,1.9468,1.4
0034,2024-11-23,20,2.09,1.4
0034,2024-11-23,24,2.5739107142857143,1.4
0034,2024-11-23,3,1.6813829787234043,1.4
0034,2024-11-26,11,9.371586206896552,4
0034,2024-11-26,15,8.739413793103449,4
0034,2024-11-26,2,12.315800000000001,4
0034,2024-11-26,20,11.491000000000001,4
0034,2024-11-26,24,10.695276595744682,4
0034,2024-11-26,3,9.503187500000001,4
0034,2024-11-29,11,9.541375,6.3
0034,2024-11-29,15,9.122153846153847,6.3
0034,2024-11-29,2,8.111736842105262,6.3
0034,2024-11-29,20,8.720040000000001,6.3
0034,2024-11-29,24,7.932549019607843,6.3
0034,2024-11-29,3,8.630448979591836,6.3
0034,2024-12-02,11,12.727896551724138,7.9
0034,2024-12-02,15,11.686838709677419,7.9
0034,2024-12-02,2,10.973837837837838,7.9
0034,2024-12-02,20,14.263745098039216,7.9
0034,2024-12-02,24,11.087490566037737,7.9
0034,2024-12-02,3,10.509872340425531,7.9
0034,2024-12-05,11,7.351074074074074,1.7
0034,2024-12-05,15,8.46740909090909,1.7
0034,2024-12-05,2,5.468277777777778,1.7
0034,2024-12-05,20,7.642244897959183,1.7
