Site,Date,PM25_FRM
0034,2024-11-02,2.9
0034,2024-11-05,5.6
0034,2024-11-08,5.2
0034,2024-11-11,2.8
0034,2024-11-14,2.6
0034,2024-11-17,5.8
0034,2024-11-20,3.3
0034,2024-11-23,1.4
0034,2024-11-26,4
0034,2024-11-29,6.3
0034,2024-12-02,7.9
0034,2024-12-05,1.7
0034,2024-12-08,7.3
0034,2024-12-11,7
0034,2024-12-14,9.3
0034,2024-12-17,8.3
0034,2024-12-20,7.4
0034,2024-12-23,6.4
0034,2024-12-26,6.8
0034,2024-12-29,3.2
0034,2025-01-01,2.2
0034,2025-01-04,2.5
0034,2025-01-07,1.3
0034,2025-01-10,16.5
0034,2025-01-13,5.2
0034,2025-01-16,NA
0034,2025-01-19,2.2
0034,2025-01-22,8.4
0034,2025-01-25,14.5
0034,2025-01-28,5.2
0034,2025-01-31,7
0034,2025-02-03,13.8
0034,2025-02-06,7.7
0034,2025-02-09,7.2
0034,2025-02-12,14.6
0034,2025-02-15,8.9
0034,2025-02-18,3.7
0034,2025-02-21,4.4
0034,2025-02-24,9.5
0034,2025-02-27,12.7
0034,2025-03-02,2.9
0034,2025-03-05,4.2
0034,2025-03-08,2.9
0034,2025-03-11,5.5
0034,2025-03-14,10.3
0034,2025-03-17,2.8
0034,2025-03-20,4.6
0034,2025-03-23,3.9
0034,2025-03-26,4.2
0034,2025-03-29,11
0034,2025-04-01,3.9
0034,2025-04-04,4.4
0034,2025-04-07,5.9
0034,2025-04-10,8.9
0034,2025-04-13,7.2
0034,2025-04-16,4.2
0034,2025-04-19,8.8
0034,2025-04-22,3.7
0034,2025-04-25,5.5
0034,2025-04-28,4.3
0034,2025-05-01,6.8
0038,2024-11-02,3.75
0038,2024-11-05,6.4
0038,2024-11-08,4.45
0038,2024-11-11,2.95
0038,2024-11-14,8.15
0038,2024-11-17,9.75
0038,2024-11-20,6.65
0038,2024-11-23,1.5
0038,2024-11-26,4.45
0038,2024-11-29,6.45
0038,2024-12-02,8.25
0038,2024-12-05,2
0038,2024-12-08,9.850000000000001
0038,2024-12-11,8.4
0038,2024-12-14,12.600000000000001
0038,2024-12-17,8.25
0038,2024-12-20,8.9
0038,2024-12-23,9.4
0038,2024-12-26,11.2
0038,2024-12-29,6.45
0038,2025-01-01,2.45
0038,2025-01-04,3.15
0038,2025-01-07,1.65
0038,2025-01-10,24.950000000000003
0038,2025-01-13,5.550000000000001
0038,2025-01-16,17.25
0038,2025-01-19,1.95
0038,2025-01-22,12.4
0038,2025-01-25,15.05
0038,2025-01-28,5.35
0038,2025-01-31,15
0038,2025-02-03,17.5
0038,2025-02-06,8.35
0038,2025-02-09,7.75
0038,2025-02-12,16.549999999999997
0038,2025-02-15,13.6
0038,2025-02-18,5
0038,2025-02-21,4.550000000000001
0038,2025-02-24,12.35
0038,2025-02-27,14.7
0038,2025-03-02,2.9
0038,2025-03-05,5
0038,2025-03-08,3.1
0038,2025-03-11,5.2
0038,2025-03-14,17.15
0038,2025-03-17,3.6
0038,2025-03-20,6.25
0038,2025-03-23,7.35
0038,2025-03-26,5.35
0038,2025-03-29,14.3
0038,2025-04-01,4.75
0038,2025-04-04,5.9
0038,2025-04-07,7.3
0038,2025-04-10,10.4
0038,2025-04-11,7.050000000000001
0038,2025-04-13,8.95
0038,2025-04-16,3.6
0038,2025-04-19,9.399999999999999
0038,2025-04-22,5.85
0038,2025-04-25,8.95
0038,2025-04-28,11.15
0038,2025-05-01,9.85
0045,2024-11-02,1.5
0045,2024-11-05,4
0045,2024-11-08,5.5
0045,2024-11-11,3.7
0045,2024-11-14,2.3
0045,2024-11-17,5.6
0045,2024-11-20,NA
0045,2024-11-23,1.2
0045,2024-11-26,NA
0045,2024-11-28,1.8
0045,2024-11-29,2.9
0045,2024-12-02,3.4
0045,2024-12-05,1.8
0045,2024-12-08,3.2
0045,2024-12-11,3.6
0045,2024-12-14,5.2
0045,2024-12-17,5.2
0045,2024-12-20,4.4
0045,2024-12-23,4
0045,2024-12-26,5
0045,2024-12-29,2.5
0045,2025-01-01,4.1
0045,2025-01-04,5.2
0045,2025-01-07,2.7
0045,2025-01-10,15.1
0045,2025-01-13,5
0045,2025-01-16,18.2
0045,2025-01-19,2
0045,2025-01-22,8
0045,2025-01-25,12
0045,2025-01-28,5.2
0045,2025-01-31,6.5
0045,2025-02-03,10.7
0045,2025-02-06,9.4
0045,2025-02-09,10.2
0045,2025-02-12,12.8
0045,2025-02-15,7.7
0045,2025-02-18,6.5
0045,2025-02-21,6
0045,2025-02-24,8.9
0045,2025-02-27,11.1
0045,2025-03-02,3.5
0045,2025-03-05,2.8
0045,2025-03-08,4.3
0045,2025-03-11,5
0045,2025-03-14,9.7
0045,2025-03-17,6.4
0045,2025-03-20,6.4
0045,2025-03-23,4.2
0045,2025-03-26,4.1
0045,2025-03-29,14.8
0045,2025-04-01,NA
0045,2025-04-04,NA
0045,2025-04-05,6.8
0045,2025-04-07,7.5
0045,2025-04-10,9.2
0045,2025-04-13,7.1
0045,2025-04-16,6.6
0045,2025-04-19,12.5
0045,2025-04-22,6.2
0045,2025-04-25,6.4
0045,2025-04-28,5.5
0045,2025-05-01,6.3
0060,2024-11-02,4.7
0060,2024-11-05,9.1
0060,2024-11-08,5.7
0060,2024-11-11,3.3
0060,2024-11-14,6.3
0060,2024-11-17,8.9
0060,2024-11-20,7
0060,2024-11-23,1.4
0060,2024-11-26,4.6
0060,2024-11-29,7.3
0060,2024-12-02,8
0060,2024-12-05,NA
0060,2024-12-07,7.6
0060,2024-12-08,9.2
0060,2024-12-11,7.8
