Site,Date,device_number,PM25_EPA_FRM,PM25_CinC,n,r2,panel_min,panel_max
0034,2024-11-02,11,2.9,3.7922432432432434,314,0.38276699592471153,0,40
0034,2025-01-28,2,5.2,3.6847222222222222,314,0.38276699592471153,0,40
0034,2025-05-01,3,6.8,4.140808510638299,314,0.38276699592471153,0,40
0038,2024-11-05,7,6.4,3.7235714285714288,211,0.029701709343923334,0,40
0038,2025-02-03,28,17.5,47.26081132075472,211,0.029701709343923334,0,40
0038,2025-05-01,7,9.85,6.4491764705882355,211,0.029701709343923334,0,40
0045,2024-11-02,19,1.5,4.037333333333333,160,0.13859738046905043,0,40
0045,2025-01-22,19,8,3.433090909090909,160,0.13859738046905043,0,40
0045,2025-05-01,25,6.3,6.557230769230769,160,0.13859738046905043,0,40
0060,2024-11-02,13,4.7,3.4165869565217393,208,0.004297124766035512,0,40
0060,2025-01-16,9,18.2,13.212979591836735,208,0.004297124766035512,0,40
0060,2025-05-01,27,9.2,5.422342105263158,208,0.004297124766035512,0,40
0065,2024-11-02,8,8.7,3.749705882352941,101,0.17533499869067043,0,40
0065,2025-01-16,1,18.9,17.558833333333332,101,0.17533499869067043,0,40
0065,2025-05-01,8,9.2,6.010294117647058,101,0.17533499869067043,0,40
0073,2024-11-08,23,5.3,10.417566037735849,61,0.2970023271929299,0,40
0073,2025-02-03,23,13.1,43.160901960784315,61,0.2970023271929299,0,40
0073,2025-05-01,23,6.2,4.427433962264151,61,0.2970023271929299,0,40
