Site,device_label,n_points
0034,3 — Nottingham Water,182
0034,15 — Coit Road and East 131st Street,174
0034,24 — East 152nd and Darwin,174
0034,2 — Collinwood Recreation Center,163
0034,20 — Nottingham Road near Railroad Tracks,131
0034,11 — East 166th St. and St. Clair Ave.,113
0038,7 — St. Theodosius Monitoring Site Collocated Sensor,178
0038,18 — Cudell Recreation Center,161
0038,28 — Metro Health Hospital,149
0038,30 — Michael Zone Recreation Center,107
0038,17 — GT Craig Monitoring Site Collocated Sensor,28
0038,17 — Michael Zone Recreation Center,28
0045,21 — Buckeye Rd. and East 89th St,175
0045,19 — Mound Elementary,150
0045,25 — Bessemer by Tremco,139
0060,12 — Lakeview Terrace Community Center,162
0060,13 — Detroit Shoreway,157
0060,27 — East 30th and Perkins,140
0060,9 — GT Craig EPA Collocated Sensor,88
0060,17 — GT Craig Monitoring Site Collocated Sensor,28
0060,17 — Michael Zone Recreation Center,28
0060,6 — East 30th and Perkins,7
0065,8 — East 56th Street and Ferro Avenue,182
0065,1 — Fleet Ave. and East 71st St.,104
0073,23 — Lee/Harvard,176
