STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-01,16.78,447,0.25,0.2,0.0,36,37,30,260,290,25.1,35.1,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-02,14.54,532,0.00,0.0,0.0,29,31,26,250,250,21.9,30.0,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-03,12.08,1854,0.26,3.4,2.0,27,28,23,300,320,25.1,35.1,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-04,15.66,53,0.02,0.4,2.0,23,25,18,250,270,23.0,34.0,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-05,7.61,51,0.00,0.0,1.2,18,22,11,240,250,16.1,21.9,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-06,13.20,1556,0.09,1.6,2.0,24,28,21,30,350,25.1,34.0,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-07,12.08,503,0.00,0.2,2.0,25,27,23,290,310,21.0,28.0,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-08,10.51,953,0.03,0.7,2.0,24,25,21,350,330,19.9,28.0,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-09,7.61,941,0.00,0.0,1.2,20,23,9,280,310,14.1,19.0,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-10,7.16,1358,0.09,,1.0,17,25,9,180,170,15.0,19.0,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-11,8.50,1457,0.05,0.6,2.0,24,31,21,270,280,17.0,21.9,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-12,10.96,1526,0.00,0.0,2.0,27,37,22,170,170,21.0,31.1,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-13,18.12,102,0.00,0.0,1.2,28,37,12,240,250,35.1,52.1,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-14,10.29,2020,0.06,1.4,0.0,14,19,10,310,320,18.1,25.9,1,,,,,,1,1
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-15,10.74,1534,0.00,0.0,2.0,14,22,7,250,240,23.9,30.0,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-16,11.63,1229,0.18,2.0,2.0,21,31,16,250,250,18.1,25.9,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-17,13.65,2056,0.00,0.0,3.0,33,40,30,180,160,23.0,32.0,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-18,12.30,3,0.39,0.2,1.2,36,41,26,10,180,23.0,30.0,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-19,11.41,1335,0.08,1.3,1.2,25,27,16,310,330,18.1,23.9,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-20,14.76,1433,0.01,0.2,3.1,11,16,3,240,210,21.0,29.1,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-21,12.30,1641,0.00,0.0,1.2,5,10,-3,250,250,23.9,35.1,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-22,11.86,1927,0.00,0.0,1.2,1,16,-5,170,180,21.9,33.1,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-01-23,12.08,1927,0.03,0.4,1.2,20,26,16,290,290,21.9,33.1,,,,,,,,
