station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
CLE,2023-01-01T00:02:00Z,42,40,91.84,270,7,0,29.88,NA,1,NA,OVC,NA,NA,NA,200,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,37.09,KCLE 010002Z 27007KT 1SM BR OVC002 06/04 A2988 RMK AO2 T00560044,NA
CLE,2023-01-01T00:19:00Z,41,40,95.82,280,6,0,29.89,NA,3,NA,OVC,NA,NA,NA,200,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,36.37,KCLE 010019Z 28006KT 3SM BR OVC002 05/04 A2989 RMK AO2 CIG 002V006 T00500044,NA
CLE,2023-01-01T00:47:00Z,41,37.4,86.89,290,6,0,29.9,NA,5,NA,OVC,NA,NA,NA,500,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,36.37,KCLE 010047Z 29006KT 5SM BR OVC005 05/03 A2990 RMK AO2 CIG 004V008,NA
CLE,2023-01-01T00:51:00Z,41,39,92.52,270,7,0,29.9,1014.5,5,NA,BKN,OVC,NA,NA,500,1100,NA,NA,BR,NA,NA,NA,NA,NA,NA,35.75,KCLE 010051Z 27007KT 5SM BR BKN005 OVC011 05/04 A2990 RMK AO2 CIG 004V008 SLP145 T00500039,NA
CLE,2023-01-01T01:51:00Z,40,37,89.27,280,8,0,29.91,1015,4,NA,BKN,OVC,NA,NA,600,1500,NA,NA,BR,NA,NA,NA,NA,NA,NA,33.84,KCLE 010151Z 28008KT 4SM BR BKN006 OVC015 04/03 A2991 RMK AO2 CIG 005V011 SLP150 T00440028,NA
CLE,2023-01-01T02:49:00Z,39.2,35.6,86.79,290,4,0,29.92,NA,5,NA,SCT,OVC,NA,NA,600,1200,NA,NA,BR,NA,NA,NA,NA,NA,NA,35.83,KCLE 010249Z 29004KT 5SM BR SCT006 OVC012 04/02 A2992 RMK AO2,NA
CLE,2023-01-01T02:51:00Z,40,36,85.81,290,5,0,29.92,1015.2,5,NA,OVC,NA,NA,NA,1000,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,35.78,KCLE 010251Z 29005KT 5SM BR OVC010 04/02 A2992 RMK AO2 CIG 005V014 SLP152 T00440022 51007,NA
CLE,2023-01-01T03:23:00Z,40,36,85.81,280,5,0,29.93,NA,5,NA,OVC,NA,NA,NA,900,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,35.78,KCLE 010323Z 28005KT 5SM BR OVC009 04/02 A2993 RMK AO2 CIG 006V011 T00440022,NA
CLE,2023-01-01T03:51:00Z,40,36,85.81,300,6,0,29.93,1015.5,6,NA,OVC,NA,NA,NA,900,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,35.04,KCLE 010351Z 30006KT 6SM BR OVC009 04/02 A2993 RMK AO2 CIG 006V012 SLP155 T00440022,NA
CLE,2023-01-01T04:16:00Z,40,36,85.81,300,7,0,29.94,NA,7,NA,OVC,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.41,KCLE 010416Z 30007KT 7SM OVC010 04/02 A2994 RMK AO2 T00440022,NA
